Compound Name,Formula,Mass,RT,CAS ID,Eva_pos_01,Eva_pos_02,Eva_pos_03,Eva_pos_04,Eva_pos_05,Eva_pos_06,Eva_pos_07,Eva_pos_08,Eva_pos_09,Eva_pos_10,Eva_pos_11,Eva_pos_12,Eva_pos_blank01,Eva_pos_blank02,Eva_pos_blank03,Eva_pos_QC00,Eva_pos_QC01,Eva_pos_QC02,Eva_pos_QC03,Eva_pos_QC04
w/o MS2:HexCer 8:0/34:1H)_1_msd2574_pos,,843.6829,11.01,,131779.7774,135997.6515,120469.285,134339.3278,72940.55029,138296.4415,73392.06731,87997.66802,137828.5583,97796.83902,130571.6409,128427.4291,176790.4462,149761.4283,147118.5595,127634.8377,85191.00692,133741.9515,128112.9492,139771.4404
w/o MS2:HexCer 8:0/34:2H)_1_msd2804_pos,,841.6668,10.75,,119966.7182,122126.6998,109494.5917,118953.4324,122520.084,117481.8491,120616.9292,125044.5782,123271.8029,111457.8654,123293.8359,113692.7383,164209.8446,140559.0694,134228.3217,116583.7568,113742.921,115856.1385,119889.6076,119200.2094
w/o MS2:HexCer 8:0/36:2H)_1_msd2867_pos,,869.6981,11.12,,113660.7848,112987.8068,110991.6384,109542.2657,109795.3304,113798.9893,109710.6431,113764.1827,113369.2526,110826.816,110197.9719,105874.2256,147393.9831,132797.7475,123640.4433,106774.732,108729.4,111187.303,111938.9798,115212.4799
w/o MS2:HexCer 8:0/38:2H)_1_msd2645_pos,,897.7295,11.45,,93879.0343,92069.73824,78754.07058,85021.30972,87199.84838,84135.60894,85892.7674,83093.19146,78345.38998,86992.62494,82355.74444,80195.56539,109214.3454,102425.8453,94127.78609,86655.12605,85517.45886,86228.59928,88111.64164,86212.1463
w/o MS2:HexCer 9:0/16:2H)_1_msd192_pos,,603.3992,0.85,,56370.78544,51487.5231,60845.61307,56639.34205,52027.18025,49823.46006,56554.83871,54688.78314,52481.1769,58938.97009,61613.30459,58704.70986,72650.18926,65697.72204,63247.98591,64242.39977,53518.85896,51942.03514,51611.46371,56096.1558
w/o MS2:HexCer 9:0/18:2H)_1_msd310_pos,,631.4341,0.99,,76159.69231,,78635.71855,,,73319.83761,72696.91193,78696.38082,78446.8669,,,,103046.8834,,82189.19852,91867.07003,,80731.32714,,74857.39467
w/o MS2:HexCer 9:0/32:7_1_msd925_pos,,785.5852,2.42,,106211.15,73441.84808,87525.05449,58049.01168,57146.34961,67766.73142,71633.31016,71710.44935,98469.64251,89211.29328,133840.3044,67681.10308,,,,95681.69119,82146.12909,84512.85243,83089.7512,80310.4588
w/o MS2:HexCer 9:1/24:6_1_msd914_pos,,673.4546,2.4,,61075.76983,71022.72438,81079.03518,67451.96278,64099.98512,74504.128,68753.45619,83151.99686,76293.79544,64701.63449,77346.36969,72742.38303,101616.733,86706.10126,88355.48832,85329.89603,76782.34711,73300.48496,66022.51705,65011.72916
w/o MS2:LPC 38:10_1_msd2146_pos,,805.5026,5.09,,78922.69976,85285.78236,86645.52702,83585.44441,82889.42217,86270.43594,80028.19631,93102.66255,90895.61116,90254.16465,82751.83075,71019.57992,142422.2781,114645.3981,104621.641,77634.35145,66671.56122,81562.15695,79421.82639,81742.59819
w/o MS2:LPC O-13:1_1_msd599_pos,,437.2899,1.39,,136858.222,93477.9024,137486.2437,95726.19984,133388.9889,102149.091,126038.3989,105179.18,176123.2566,79985.98713,139317.4589,99276.66064,,,,150587.0766,134331.789,125425.0883,117868.6372,118627.9097
w/o MS2:LPC O-15:1_1_msd812_pos,,465.3222,2.2,,76237.73719,67513.304,84236.64946,70542.80463,92811.88587,65684.07131,75314.72951,71262.43918,110985.1514,62407.86344,86459.49265,77744.72471,,,,95372.86832,90606.94104,77405.38324,73164.25457,80161.6009
w/o MS2:LPC O-16:1_1_msd491_pos,,479.3369,1.31,,566475.0865,343379.346,632901.1948,344479.6576,606886.1362,354036.7688,533025.5319,358612.575,704758.9836,323090.8293,624263.1124,355106.3728,,,,606334.2232,523486.9676,513846.1806,493057.1421,477617.4231
w/o MS2:LPE 18:1(d7)_1_msd514_pos,,486.3444,1.32,,99631.85466,148704.7588,80156.9379,145229.8394,156538.3587,82370.1454,91115.91891,142424.8901,161549.1559,123203.1088,154634.9491,137908.6463,205809.2451,200211.0505,204039.7905,174831.9785,168633.2864,162839.8935,132506.6278,147721.5038
w/o MS2:NAE 16:0_1_msd695_pos,,299.281,1.74,,125474.3161,81220.87421,149280.9211,87826.11352,135353.0544,90208.38893,120099.0522,90157.1787,164115.7459,91684.9105,148861.2078,88938.62305,,,,147419.8845,119489.5944,123509.2339,114891.3512,112227.9205
w/o MS2:NAE 18:0_1_msd1023_pos,,327.312,2.69,,62420.4157,50777.84601,68065.64249,48158.24227,59440.02934,52927.36207,51413.05779,54536.51907,68360.60769,48652.97959,64949.59397,51869.74993,,,,67349.08603,60757.91295,58330.26398,53638.64613,53748.46264
