RT [min],CCS,m/z meas.,Original annotation,Molecular Formula,Annotations,AQ,Name for process,Ions,ID library,Positive id forms,Positive id forms formatted,ID confidence,Annotation Source,mSigma,MS/MS score,mz,BlankC1,BlankC2,BlankC3,BlankC4,BlankC5,BlankC6,QC01,QC02,QC03,E3,E6,F3,F5,F4,E2,QC04,F2,F1,F6,E5,E4,E1,QC05
1.65,270.2,769.41432,,,,,_769.414_1.65__,,,0,0,,,,,,37477,33198,33748,31592,38982,36799,30858,28329,29704,48234,41628,39816,50770,42879,35983,29224,32216,32771,40444,40420,37227,40737,33561
1.7,268.1,694.42953,,,,,_694.43_1.7__,,,0,0,,,,,,1997,1334,2099,0,0,0,53409,56209,62825,68242,44621,56417.6,42818,43066,47501,66194,59367,68762,68075,38349,35280,75659,74032
1.71,214.7,462.29827,,,,,_462.298_1.71__,,,0,0,,,,,,0,0,0,0,0,0,236802,254702,270485,443082,248220,363780.2,252653,303977,523053,278483,737690,258959,265622,217291,308222,320293,314448
1.75,272,720.44492,,,,,_720.445_1.75__,,,0,0,,,,,,0,433,738,0,0,0,48374,53129,53677,61475,44190,45895.6,40028,33324,49371,57148,48511,52792,54823,39208,37426,68622,67809
1.75,222.9,499.1699,,,,,_499.17_1.75__,,,0,0,,,,,,0,0,0,0,0,0,14711,15475,16332,22526,19180,20192.2,19868,21003,17123,15460,18719,22250,19121,16376,19273,18857,16768
1.79,189.9,349.24147,,,,,_349.241_1.79__,,,0,0,,,,,,13656,8644,9205,8566,8108,7958,23198,24980,26412,31273,26165,34118.2,35970,32293,33292,28694,53760,19902,28666,23001,34113,18250,28276
1.79,284.3,780.50022,,,,,_780.5_1.79__,,,0,0,,,,,,0,0,0,0,0,0,5191,5409,5637,6496,4083,4745.8,3415,3676,5205,6693,6230,4730,5678,3757,4091,7100,6900
1.82,260,678.39802,,,,,_678.398_1.82_[M+HCOOH-H]-_,[M+HCOOH-H]-,,0,0,,,,,,0,0,0,0,0,0,44090,45912,51062,43778,22969,41221.6,31747,29450,40042,58552,48431,48384,48096,24666,21648,47968,67571
1.82,219.6,475.30536,,,,,_475.305_1.82__,,,0,0,,,,,,0,0,0,0,579,0,9585,10648,10299,10823,9164,10614.4,0,8397,26757,11020,28305,6703,9667,8669,9759,12762,10839
1.82,216.8,479.28168,,,,,_479.282_1.82__,,,0,0,,,,,,0,0,0,0,0,0,11005,11054,9647,11088,11252,12281.8,12545,11914,14555,10060,13772,10590,12588,12305,10992,11237,9265
1.82,195.2,375.25631,,,,,_375.256_1.82__,,,0,0,,,,,,0,0,0,0,0,0,7223,7498,7925,9083,8092,11737.8,10449,10477,10549,7921,20429,6121,11213,8689,7801,4920,8123
1.81,231.5,558.31972,,,,,_558.32_1.81__,,,0,0,,,,,,0,1450,0,1372,0,0,67451,73947,73650,99035,44013,76231.2,54072,50038,130102,79873,161499,66834,48713,56241,53783,115293,92294
1.82,266.9,711.46743,,,,,_711.467_1.82__,,,0,0,,,,,,0,0,0,0,0,0,12373,14345,16688,0,0,227.4,0,1137,0,18531,0,0,0,0,1413,1421,21323
1.82,216.5,478.29034,,,,,_478.29_1.82__,,,0,0,,,,,,0,0,0,0,0,0,5957,6137,5960,7121,6119,7642,6648,6040,10986,6639,14269,4862,6391,6494,6346,5126,6752
1.84,210.9,434.29351,,,,,_434.294_1.84__,,,0,0,,,,,,0,0,0,0,0,0,12404,13093,14365,14946,10745,11814.2,12836,12428,11780,14889,16135,7361,10311,10366,12774,7426,14764
1.83,236.6,551.3133,,,,,_551.313_1.83__,,,0,0,,,,,,0,0,0,0,0,0,9731,8091,8390,5360,10136,12003.4,13412,12505,10950,10405,14774,5955,13371,10562,8801,8921,9475
1.84,272.1,738.45325,,,,,_738.453_1.84__,,,0,0,,,,,,0,0,0,0,0,0,6089,6032,6171,5711,0,4993.4,4367,3633,4945,7252,5594,5285,6088,3437,4189,5596,7397
1.81,242.4,603.3479,,,,,_603.348_1.81__,,,0,0,,,,,,0,0,0,0,0,0,2563,2474,2349,3611,2602,2505.4,2083,2557,3511,0,3026,2063,2798,2232,3279,2065,1917
1.82,214.5,477.30324,,,,,_477.303_1.82__,,,0,0,,,,,,0,0,0,0,0,0,7492,6897,7457,6867,7062,6821.8,2050,6030,11933,7401,13254,6260,6515,8206,6212,7019,8167
1.83,280.9,770.48052,,,,,_770.481_1.83__,,,0,0,,,,,,0,0,0,0,0,0,12354,13753,13053,14079,13172,15495.4,16654,13829,11742,15231,16244,15451,15299,5622,12267,17961,14439
1.81,225.7,529.3105,,,,,_529.311_1.81__,,,0,0,,,,,,5301,1499,0,5652,5856,4875,5106,5523,5131,3391,7276,6815.6,6831,6127,10926,5728,10166,5021,5933,8132,6577,0,6010
